Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
300059.SZ,EAST MONEY INFORMA,Financial Data & Stock Exchanges,20.66,326128435200.0,CNY,0.02331598471420256,0.04544707349109522,0.0029041626331074537,1.2696887216300323,8711.0
600893.SS,AECC AVIATION POWER CO LTD,Aerospace & Defense,33.76,91189805056.0,CNY,0.020496773723139166,0.030930372264867088,0.002873222748815166,0.5292014562065895,8713.0
002343.SZ,CIWEN MEDIA CO LTD,Entertainment,6.8,3229660160.0,CNY,0.01194197357284799,0.03034078265904988,0.0,0.2751038139269063,8714.0
600249.SS,LIUZHOU LIANGMIANZHEN CO,Household & Personal Products,5.84,3239500544.0,CNY,-0.012116460897868588,-0.01725748922692203,0.005136986301369863,0.044251704968918955,8718.0
601233.SS,TONGKUN GROUP CO LTD,Textile Manufacturing,10.58,25442572288.0,CNY,0.04033915955400728,0.013699182183613613,0.004064272211720226,1.3226847832040511,8720.0
600319.SS,WEIFANG YAXING CHEMICAL,Chemicals,5.31,2058734720.0,CNY,0.02553266551505965,0.04428129023712113,0.0,1.1381814153558463,8720.0
300007.SZ,HANWEI ELECTRONICS,Scientific & Technical Instruments,40.78,13353247744.0,CNY,0.01023557137037418,0.03914725740411203,0.0,0.3189563144570582,8723.0
300189.SZ,HAINAN SHENNONG SE,Agricultural Inputs,4.16,4259839744.0,CNY,-0.005458723366941755,-0.029923683679533877,0.0,0.010279650807748855,8724.0
002878.SZ,BEIJING YUANLONG Y,Advertising Agencies,13.62,3554792704.0,CNY,0.014284584305819447,0.02438417415014937,0.0036710719530102793,0.35775267932439175,8725.0
002449.SZ,FOSHAN NATIONSTAR,Semiconductors,8.59,5312717312.0,CNY,0.007821486937793968,0.009970861784237181,0.0,0.11910745192944568,8727.0
002421.SZ,SHENZHEN DAS INTEL,Information Technology Services,3.32,7040325120.0,CNY,0.02987285681346487,0.03420430460696254,0.0,0.9801789142286602,8739.0
300813.SZ,ZHEJIANG TAILIN BI,Medical Devices,17.34,2101590656.0,CNY,0.0059070350139585025,0.015395464113609708,0.0057670126874279125,0.24290763975563895,8742.0
001322.SZ,ARROW HOME GROUP C,Building Products & Equipment,8.23,7971552768.0,CNY,0.018069148863721084,0.02371859797018699,0.0,0.32320132798431817,8745.0
603657.SS,JINHUA CHUNGUANG TECHNOLOGY CO ,Consumer Electronics,16.25,2217296128.0,CNY,0.018642629100374217,0.031218016966548485,0.002153846153846154,0.4689542527386118,8748.0
300712.SZ,FUJIAN YONGFU POWE,Engineering & Construction,22.34,4189777664.0,CNY,0.020596028200125533,0.03606098098821417,0.0044762757385854975,0.8163076944446579,8748.0
300386.SZ,FEITIAN TECHNOLOGI,Software - Infrastructure,18.49,7729633280.0,CNY,-0.007032814796098582,-0.03697423203091944,0.0,0.007748851719556745,8751.0
600118.SS,CHINA SPACESAT CO. LTD.,Aerospace & Defense,26.26,31052187648.0,CNY,0.002463192382998677,0.011625354217964439,0.0003808073115003808,0.0943003044978452,8752.0
301002.SZ,SHENZHEN SOSEN ELE,Electronic Components,15.59,1915652480.0,CNY,0.014629766417758655,0.023577203523215556,0.006414368184733804,0.4638394005729441,8752.0
002845.SZ,SHENZHEN TXD TECHN,Electronic Components,14.52,4756055040.0,CNY,0.01575696606530426,0.020442741344510358,0.005509641873278237,0.4134065403484279,8752.0
002428.SZ,YUNNAN LINCANG XIN,Other Industrial Metals & Mining,19.06,12448466944.0,CNY,0.008149635948456918,0.052104881887676424,0.0015739769150052466,0.5178671410189803,8753.0
601177.SS,HANGZHOU ADVANCE GEARBOX GROUP ,Specialty Industrial Machinery,19.06,7776003584.0,CNY,0.013957732612588244,0.0315616575496102,0.0031479538300104933,0.4073761178624692,8758.0
603729.SS,SHANGHAI LONGYUN CULTURAL CREAT,Advertising Agencies,15.09,1417749248.0,CNY,0.013397953218311283,0.03884718391393363,0.0,0.3752053631558537,8759.0
000529.SZ,GUANGDONG GUANGHON,Farm Products,6.09,3555281408.0,CNY,0.01305385806467224,0.007902367129590464,0.024630541871921183,0.9192730837739788,8763.0
002263.SZ,Z/J GREAT S/E CO L,Packaging & Containers,2.4,4508064256.0,CNY,-0.00016393160523756238,-0.0002564211891709256,0.0,0.05309193264116976,8765.0
605333.SS,KUNSHAN HUGUANG AUTO HARNESS CO,Auto Parts,31.42,13723501568.0,CNY,0.013068483291333716,0.06192721185662061,0.001591343093570974,1.1613481317943781,8765.0
300738.SZ,GUANGDONG AOFEI DA,Information Technology Services,21.46,21141082112.0,CNY,0.019899205195897204,0.05579149406106564,0.0,1.6192844061566207,8777.0
301105.SZ,GUANGDONG HONGMING,Specialty Industrial Machinery,31.08,1554000000.0,CNY,-0.0072086020205920105,-0.013291905871235847,0.0,0.019314930887498534,8784.0
600195.SS,CHINA ANIMAL HUSBANDRY INDUSTRY,Drug Manufacturers - Specialty & Generic,6.68,6974454272.0,CNY,0.007692341712725187,0.00824349591956783,0.0034431137724550897,0.1849994226127814,8785.0
601588.SS,BEIJING NORTH STAR CO,Real Estate - Development,1.71,5034068992.0,CNY,0.05197179208623766,0.010323069166556858,0.0,2.3069277514833773,8786.0
002494.SZ,HUASI HOLDING COMP,Apparel Manufacturing,4.46,1682807168.0,CNY,0.009919935318459515,0.011841659153658505,0.0,0.15869702946609066,8787.0
603038.SS,DONGGUAN HUALI INDUSTRIES CO LT,"Furnishings, Fixtures & Appliances",13.66,3670127616.0,CNY,0.011897812209481499,0.024977290448293082,0.0028550512445095167,0.31309588978016456,8791.0
300339.SZ,JIANGSU HOPERUN SO,Software - Application,49.45,39382523904.0,CNY,0.004310778998924363,0.03938177905336872,0.0,0.2592818835362979,8799.0
300269.SZ,SHENZHEN LIANTRONI,Consumer Electronics,3.68,2020739456.0,CNY,0.011863183845310148,0.07485485053996932,0.0,2.85592246348636,8800.0
300620.SZ,ADVANCED FIBER RES,Communication Equipment,39.84,9927370752.0,CNY,0.007888581892060683,0.032488631068522324,0.0,0.2621107875806432,8802.0
002331.SZ,ANHUI WANTONG TECH,Software - Application,7.41,3152451072.0,CNY,0.0009053765609085757,0.001607186730834365,0.0,0.06639454043813799,8803.0
603912.SS,NANJING CANATAL DATA-CENTRE ENV,Specialty Industrial Machinery,8.42,4562023424.0,CNY,0.0069421069307512495,0.012314245481855243,0.009501187648456057,0.36426448834483666,8804.0
