代码,上市公司,行业,市值(元),PE-TTM,PB,股息率,财报日期,复合排名,资本收益率(ROC),资本回报率排名,公司收益率,公司收益率排名,关注度
="301511",德福科技,储能设备,=9713262020,=-73.49817288607274,=2.4214835404196235,=0,2025-05-19,=3375,=0,=3730,=-0.0015310199412611539,=3253,=20
="002813",路畅科技,汽车零部件,=3193200000,=-53.58776479160003,=10.926554507859013,=0,2025-05-19,=3376,=0,=3448,=-0.016539794851242188,=3535,=138
="002109",兴化股份,其他化学制品,=4466944478.5,=-13.679598160928347,=1.0135645607336699,=0,2025-05-19,=3377,=0,=3312,=-0.028029542117767467,=3674,=162
="301558",三态股份,多业态零售,=7146992080.38,=-4143.51289370808,=5.345056679041587,=0,2025-05-19,=3378,=0,=3732,=-0.0015506875042236952,=3255,=30
="300045",华力创通,计算机设备,=12100449809.36,=-74.85415432511888,=7.65839771976887,=0,2025-05-19,=3379,=0,=3482,=-0.014976772561993836,=3508,=216
="300249",依米康,空调,=6175641675.88,=-72.38115365610263,=19.139319201940033,=0,2025-05-19,=3380,=0,=3533,=-0.012296559262188657,=3458,=219
="300561",*ST汇科,软件开发,=3920890301.25,=-207.95515708213728,=6.414679669501615,=0.00292887029288703,2025-05-19,=3381,=0,=3620,=-0.0071782370955954244,=3374,=133
="002812",恩捷股份,其他化学制品,=27563200544.57,=-40.03531963692547,=1.121381130392824,=0,2025-05-19,=3382,=0,=3447,=-0.017437667283856876,=3547,=1805
="300756",金马游乐,其它专用机械,=3741380698.24,=-1231.2924781443962,=2.7100589001969686,=0.002106149957877001,2025-05-19,=3383,=0,=3659,=-0.005124480005571505,=3336,=88
="000881",中广核技,其他化学制品,=6986696772.849999,=-19.298293624655066,=1.352359650012196,=0,2025-05-19,=3384,=0,=3285,=-0.031130642195059895,=3712,=207
="002173",创新医疗,医疗服务,=4501100390.4,=-42.90293187865041,=2.554162658616496,=0,2025-05-19,=3385,=0,=3328,=-0.027716565628264193,=3670,=136
="300382",斯莱克,其它专用机械,=10043715907.06,=-68.74252308649545,=4.372320746561782,=0,2025-05-19,=3386,=0,=3577,=-0.010055059917892706,=3422,=226
="002586",*ST围海,水利工程,=3638631410.52,=-42.75208452822279,=1.230578086240082,=0,2025-05-19,=3387,=0,=3409,=-0.020980745308377857,=3590,=75
="300214",日科化学,其他化学制品,=3028208617.14,=-44.47904528605201,=1.2434932041632853,=0,2025-05-19,=3388,=0,=3528,=-0.012960732833678807,=3472,=118
="300696",爱乐达,航空装备,=6065335218.27,=-385.32259459353355,=3.299361504211632,=0,2025-05-19,=3389,=0,=3650,=-0.005661395115604865,=3351,=253
="000599",青岛双星,轮胎,=3944945907.21,=-8.995749419811244,=2.6495149473931594,=0,2025-05-19,=3390,=0,=3249,=-0.03680920517222358,=3754,=140
="301070",开勒股份,制冷空调设备,=3877830864,=-607.8501143648238,=5.06959263790251,=0,2025-05-19,=3391,=0,=3695,=-0.003704508870472492,=3309,=41
="300499",高澜股份,其它专用机械,=5149543274.68,=-119.88313255543154,=3.773786377743642,=0,2025-05-19,=3392,=0,=3607,=-0.008571917249295754,=3399,=162
="002176",江特电机,电机,=12217291159.960001,=-36.80138192766756,=3.527793885557193,=0,2025-05-19,=3393,=0,=3330,=-0.028365584056587744,=3677,=414
="002169",智光电气,工控自动化,=5134538856.639999,=-17.00403000787041,=1.9151822087654882,=0.012195121951219514,2025-05-19,=3394,=0,=3327,=-0.028452050156852707,=3680,=246
="000553",安道麦A,农药,=16098999303.06,=-6.3771849368104485,=0.8413534352510851,=0,2025-05-19,=3395,=0,=3238,=-0.03811480630166045,=3769,=271
="301082",久盛电气,线缆部件及其他,=4243297012.5,=-87.34896382313919,=4.167648593378126,=0.005333333333333334,2025-05-19,=3396,=0,=3696,=-0.003963094269878715,=3312,=26
="300424",航新科技,航空装备,=3897403627.2000003,=-38.65946421170933,=5.303414061800561,=0,2025-05-19,=3397,=0,=3584,=-0.010174209507107014,=3424,=156
="300025",华星创业,通信配套服务,=3597165958.54,=-44.96267368471998,=6.357161456966967,=0,2025-05-19,=3398,=0,=3475,=-0.016542143244992195,=3536,=236
="300474",景嘉微,航天装备,=35538107164,=-170.5000819010108,=5.061681036234871,=0.0008823529411764705,2025-05-19,=3399,=0,=3602,=-0.009575091252755762,=3411,=634
