Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
6919.HK,RENRUI HR,Staffing & Employment Services,4.01,628367040,HKD,0.143549859,0.061435293,0,0.158475181,3224
0052.HK,FAIRWOOD HOLD,Restaurants,5.14,665902400,HKD,0.1445392,0.145742385,0.068093385,1.578093746,3226
1152.HK,MOMENTUM FIN,Food Distribution,0.073,71686000,HKD,0.582582373,0.162016526,0,1.460646538,3227
0838.HK,EVA HOLDINGS,Metal Fabrication,0.74,1280525568,HKD,0.276233454,0.064691535,0.056756757,0.848975252,3231
8629.HK,SYNTRUST GK,Engineering & Construction,10.42,353540192,HKD,0.057085447,0.112881665,0.014395393,0.221272002,3231
0090.HK,PUXING ENERGY,Utilities - Renewable,0.59,270573984,HKD,0.534105304,0.087884668,0.022033898,1.014957176,3232
0041.HK,GREAT EAGLE H,Real Estate - Diversified,12.56,9391400960,HKD,0.296200962,0.032376927,0.069267516,0.598593067,3233
2352.HK,DOWELL SERVICE,Real Estate Services,7.26,486353952,HKD,0.056421871,0.056985447,0.009090909,0.052350079,3234
0762.HK,CHINA UNICOM,Telecom Services,8.68,2.65591E+11,HKD,0.095669783,0.071825328,0,0.129579997,3235
0598.HK,SINOTRANS,Integrated Freight & Logistics,3.4,58999865344,HKD,0.050073052,0.060796262,0.085294118,0.297153672,3235
2551.HK,APT ELECTRONICS,Electronic Components,2.98,1600698112,HKD,0.04256018,0.061579151,0.022818792,0.078785966,3236
1870.HK,ACME INTL HLDGS,Engineering & Construction,0.237,177465600,HKD,0.160729741,0.173451952,0,0.592369823,3240
0089.HK,TAI SANG LAND,Real Estate Services,1.62,466025440,HKD,0.255112682,0.010612314,0.055555556,0.29929539,3241
1364.HK,GUMING,Restaurants,17.7,42093965312,HKD,0.039690345,2.363144137,0,0.333092049,3243
1447.HK,SFK,Engineering & Construction,0.6,240000016,HKD,0.14527499,0.057050571,0.116666667,0.728801914,3249
1113.HK,CK ASSET,Real Estate - Development,30.4,1.06393E+11,HKD,0.094733397,0.022481709,0.057236842,0.145681035,3252
1727.HK,HEBEI CONS,Engineering & Construction,0.445,783814080,HKD,1.307098234,0.090134025,0,0.881624102,3255
2571.HK,SAIMO,Software - Infrastructure,12.72,1695995776,HKD,0.028033678,0.095335967,0,0.081249624,3258
0855.HK,CHINA WATER,Utilities - Regulated Water,5.98,9727725568,HKD,0.39791984,0.102846918,0.046822742,1.97244047,3262
8423.HK,CHI HO DEV,Engineering & Construction,0.039,31200000,HKD,0.609391026,0.075082238,0,0.630766293,3263
2885.HK,PEIPORT HOLD,Security & Protection Services,0.7,280000000,HKD,0.036425,0.029792716,0.02,0.015391491,3265
1138.HK,COSCO SHIP ENGY,Oil & Gas Midstream,5.46,43636428800,HKD,0.126823944,0.087877239,0.078754579,0.863904556,3266
1501.HK,INT MEDICAL,Medical Instruments & Supplies,26,4531982336,HKD,0.047417661,0.107368118,0,0.137347138,3266
0558.HK,LK TECH,Specialty Industrial Machinery,2.59,3533769984,HKD,0.162595189,0.15477808,0.030888031,0.972677895,3267
3603.HK,XINJI SHAXI,Real Estate Services,0.042,62703480,HKD,2.811343166,0.079469467,0,0.818742446,3268
1972.HK,SWIREPROPERTIES,Real Estate Services,16.08,92689940480,HKD,0.084076006,0.024076769,0.06840796,0.177487778,3268
1022.HK,FEIYU,Electronic Gaming & Multimedia,0.181,316648640,HKD,0.128798911,0.067196763,0,0.190004966,3269
8201.HK,PPS INT'L,Waste Management,0.061,32940000,HKD,0.190528233,0.029436596,0,0.108033513,3272
1044.HK,HENGAN INT'L,Household & Personal Products,20.75,23632588800,HKD,0.113371879,0.07877707,0.06746988,0.626784443,3272
0253.HK,SHUNHO HOLDINGS,Lodging,0.52,158271872,HKD,0.659814019,0.019903575,0,0.242322435,3274
0219.HK,SHUNHO PROPERTY,Lodging,0.53,307269088,HKD,0.343773598,0.012634959,0,0.139491233,3278
0232.HK,CON AERO TECH,Aerospace & Defense,0.097,902426880,HKD,0.072251837,0.021766933,0.051546392,0.096595482,3279
2120.HK,KN HOSPITAL,Medical Care Facilities,9.12,659913152,HKD,0.240348674,0.074417249,0.049342105,0.836454737,3282
1177.HK,SINO BIOPHARM,Biotechnology,3.67,65669877760,HKD,0.088103012,0.135544967,0.017983651,0.412812574,3284
2373.HK,BEAUTYFARM MED,Medical Care Facilities,16.7,3937793280,HKD,0.067522082,0.331574169,0.028742515,0.702235701,3285
1065.HK,TIANJIN CAPITAL,Waste Management,3.15,8274703872,HKD,0.196854413,0.09248804,0.053968254,1.038104129,3285
6878.HK,DIFFER GP AUTO,Credit Services,0.037,34758688,HKD,14.08580209,0.202470986,0,13.65193489,3288
8245.HK,SHANYU GROUP,Communication Equipment,0.209,43225588,HKD,0.169297871,0.571406262,0,1.002658327,3288
0874.HK,BAIYUNSHAN PH,Medical Distribution,16.58,42377650176,HKD,0.089089564,0.078928826,0.048250905,0.387050169,3289
3978.HK,BESTSTUDY EDU,Education & Training Services,4.94,4185271808,HKD,0.027881821,0.234319529,0.023076923,0.382355304,3289
1338.HK,BAWANG GROUP,Household & Personal Products,0.041,129660040,HKD,0.088408117,0.082170865,0,0.179947241,3289
0363.HK,SHANGHAI IND H,Conglomerates,11.32,12307216384,HKD,0.391048134,0.044957796,0.083038869,1.25638374,3293
8307.HK,MEDICSKIN,Medical Care Facilities,0.169,67048384,HKD,0.080165989,0.49086758,0,0.525753425,3300
1416.HK,CTR HOLDINGS,Engineering & Construction,0.06,84000000,HKD,0.024130952,0.038723112,0,0.004680396,3301
8326.HK,TK NEW ENERGY,Utilities - Renewable,0.158,193866016,HKD,0.225985972,0.109981448,0,0.576849153,3303
9860.HK,ADICON HOLDINGS,Diagnostics & Research,5.9,4281453056,HKD,0.129497391,0.213607475,0,0.638050175,3306
2192.HK,MEDLIVE,Health Information Services,11.5,8428074496,HKD,0.014477921,0.025426196,0.022347826,0.004716164,3307
9893.HK,PIZU GROUP,Specialty Chemicals,0.52,1818133248,HKD,0.151749054,0.17450274,0.017307692,0.865831518,3309
