Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow
603856.SS,SHANDONG DONGHONG PIPE INDUSTRY,Building Products & Equipment,11.16,CNY,CNY,3147745024.0,12-31,0.189,2799559408.55,820746760.37,3558514416.1,2239454875.67,2864070391.16,2309031479.03,287548319.39,161127848.82,191755705.8,-207400698.82,-4405529.58
603858.SS,SHANDONG BUCHANG PHARMACEUTICAL,Drug Manufacturers - Specialty & Generic,14.91,CNY,CNY,16491057152.0,12-31,0.126,13954895890.02,3151745799.55,20892297542.28,11616993595.29,13245133303.78,4218281873.36,7801592808.39,318973324.8,-195605226.23,-1065387661.79,-168000335.46
603859.SS,NANCAL TECHNOLOGY CO LTD,Conglomerates,29.69,CNY,CNY,7265083904.0,12-31,0.068,2819348744.68,167768697.24,3782797014.81,2723026303.0,1410036363.59,702541063.6,317488434.32,219544703.75,314711989.96,-23441883.34,-386626463.07
603860.SS,ROADMAINT CO LTD,Infrastructure Operations,28.73,CNY,CNY,1915716352.0,12-31,0.167,805610362.38,,948049975.81,805610362.38,259962348.72,124879023.31,76263878.00999999,44619863.78,50974578.88,-10703711.4,-6354109.48
603861.SS,GUANGZHOU BAIYUN ELECTRIC EQUIP,Specialty Industrial Machinery,9.0,CNY,CNY,4433039872.0,12-31,0.084,4691336905.61,2099893451.09,8931694749.09,2887433888.34,4330476160.86,3547734188.27,591943352.22,109636960.92,-48791835.99,27073654.39,68329228.72
603863.SS,GUANGDONG SONGYANG RECYCLE RESO,Paper & Paper Products,12.51,CNY,CNY,2592760320.0,12-31,0.0,1087478635.67,532272060.01,1487475071.32,659645336.07,665364083.98,749028396.16,64129386.0,-236931005.82,-28568104.85,72598569.44,-24135954.0
603866.SS,TOLY BREAD CO LTD,Grocery Stores,5.71,CNY,CNY,9278864384.0,12-31,0.25,5861573689.54,1112558104.53,7074655313.64,5132483823.56,6087158512.65,4663507784.54,706979375.8599999,522083969.8,997797814.92,-526501547.46,-455587371.97
603867.SS,ZHEJIANG XINHUA CHEMICAL CO LTD,Chemicals,23.6,CNY,CNY,4549466624.0,12-31,0.45,2947783043.23,744765907.02,3970557843.13,2204974219.69,2596603559.77,1992706033.71,252153151.86999995,252619759.41,281423571.68,-26916445.68,-206727032.03
603868.SS,SHANGHAI FLYCO ELECTRICAL APPLI,Household & Personal Products,34.4,CNY,CNY,14984640512.0,12-31,2.3,3576345741.08,26270499.35,4459200718.23,3576345741.08,5059683184.43,2170682371.99,1798369756.98,1019636618.3,1310951610.65,-891164025.13,-403241416.4
603869.SS,ENC DIGITAL TECHNOLOGY CO LTD,Information Technology Services,5.87,CNY,CNY,2981666560.0,12-31,0.0,3956500476.5,111521791.14,5034450912.56,3852479083.01,945866211.11,655597624.23,316494938.95,-70873420.22,66359642.32,-4795248.76,-436703923.05
603871.SS,JIAYOU INTERNATIONAL LOGISTICS ,Integrated Freight & Logistics,14.14,CNY,CNY,13989960704.0,12-31,0.657,4929534071.81,56932922.76,6467457995.28,4875705420.39,6995259911.88,5636285394.11,157616140.6600001,1038787007.79,1552816304.79,-185399305.32,-539493039.06
603876.SS,JIANGSU DINGSHENG NEW MATERIAL ,Aluminum,8.22,CNY,CNY,7652466688.0,12-31,0.23,11620627443.36,6695507997.7,20239346472.95,6549115894.36,19064056209.04,16951909994.96,1329055466.61,534827894.69,1132785474.49,-507025002.41,-572446136.4
603877.SS,NINGBO PEACEBIRD FASHION CO LTD,Apparel Retail,15.95,CNY,CNY,7849665024.0,12-31,0.0,5309056355.05,1556452403.47,8424478406.26,4504931966.39,6802399203.16,3045097410.96,3197995867.3399997,258455324.2,860323998.95,-824564591.85,-49063407.74
603878.SS,JIANGSU WUJIN STAINLESS STEEL P,Steel,5.31,CNY,CNY,2984952576.0,12-31,0.53,3203954170.27,460024604.61,4258307422.32,2798984287.88,3515517352.47,2929915390.89,159706047.34000003,351616770.56,199918682.57,96508757.16,-165572720.81
603879.SS,YONGYUE SCIENCE AND TECHNOLOGY ,Specialty Chemicals,5.18,CNY,CNY,1861401856.0,12-31,0.0,274567400.4,12721654.64,335243544.19,264041958.35,370353100.87,350475234.2,65666765.85,-165546051.41,-35842482.18,920579.77,-102543.22
603880.SS,JIANGSU NANFANG MEDICAL CO LTD,Medical Instruments & Supplies,4.99,CNY,CNY,1462673664.0,12-31,0.0,921301780.08,469324283.95,1277326306.3,469268077.3,600095343.68,544429465.19,92139223.5,-147417266.38,15509532.6,-57708590.81,-16352543.75
