Ticker,Company Name,Industry,Market Price,Market Currency,Report Currency,Market Cap,Financial Year End Date,Past Financial Year Dividends,Latest Invested Capital,Latest Total Debt,Latest Total Asset,Latest Common Equity,Past Annual Sales,Past Annual Cogs,Past Annual Opex,Past Annual Net Income,Past Annual Operating Cash Flow,Past Annual Financing Cash Flow,Past Annual Investing Cash Flow,Past Annual R&D
8226.HK,KOALA FIN GP,Capital Markets,0.144,HKD,HKD,60120572.0,12-31,0.0,373019000.0,3670000.0,406232000.0,371487000.0,24012000.0,1053000.0,24795000.0,-24283000.0,-25225000.0,-2010000.0,2666000.0,
8227.HK,HAITIAN ANTENNA,Communication Equipment,0.27,HKD,CNY,512360096.0,12-31,0.0,-28668852.02,5592401.45,58564833.84,-33440011.69,13091468.2,11034415.18,29038056.19,-42980083.2,-6683081.18,6989279.95,-438601.21,
8229.HK,FUTURE DATA,Information Technology Services,0.43,HKD,HKD,235072400.0,12-31,0.0,187752000.0,10206000.0,275919000.0,182104000.0,482008000.0,421682000.0,74803000.0,-16367000.0,-5248000.0,9650000.0,-960000.0,
8232.HK,CLASSIFIED GP,Restaurants,0.94,HKD,HKD,52405000.0,12-31,0.0,17819000.0,5415000.0,35934000.0,17819000.0,36357000.0,27488000.0,6943000.0,-15346000.0,-4592000.0,9838000.0,-797000.0,
8237.HK,LINK HOLDINGS,Lodging,0.27,HKD,HKD,45230400.0,12-31,0.0,450808124.0,381033491.0,616942581.0,71203991.0,58332269.0,20627504.0,85278426.0,-88245082.0,-23609399.0,52121497.0,-2113053.0,
8238.HK,WINTO GROUP,Advertising Agencies,0.174,HKD,HKD,15153868.0,12-31,0.0,-19020000.0,8659000.0,41025000.0,-27679000.0,23550000.0,17175000.0,11360000.0,-73721000.0,-5126000.0,5023000.0,1747000.0,
8239.HK,CAPITAL FIN,Credit Services,0.56,HKD,HKD,52551244.0,12-31,0.0,164932000.0,117172000.0,219253000.0,51136000.0,36233000.0,,,-8819000.0,52836000.0,-65162000.0,2819000.0,
8241.HK,YING KEE TEA,Packaged Foods,0.112,HKD,HKD,40504800.0,03-31,0.0,91853000.0,92213000.0,101580000.0,6569000.0,33937000.0,7770000.0,36525000.0,-14682000.0,6025000.0,-5042000.0,-349000.0,
8245.HK,SHANYU GROUP,Communication Equipment,0.209,HKD,HKD,43225588.0,03-31,0.0,12807000.0,6412000.0,41268000.0,6395000.0,49960000.0,34483000.0,8159000.0,1961000.0,-8481000.0,4808000.0,92000.0,
8246.HK,ZHONGHUA GAS,Utilities - Regulated Gas,0.119,HKD,CNY,480000800.0,12-31,0.0,186247000.0,52965000.0,406028000.0,136711000.0,89193000.0,85657000.0,41655000.0,-49099000.0,-129694000.0,2051000.0,575000.0,
8247.HK,BIOSINO BIO-TEC,Diagnostics & Research,0.55,HKD,CNY,79588856.0,12-31,0.0,353104000.0,151450000.0,563251000.0,210387000.0,289073000.0,161708000.0,145352000.0,-11648000.0,-6560000.0,10249000.0,-17700000.0,
8249.HK,RUIYUAN IC TECH,Electronic Components,0.133,HKD,CNY,66500000.0,12-31,0.0,-50147000.0,2000000.0,13317000.0,-52147000.0,21783000.0,20158000.0,2877000.0,-3514000.0,-3943000.0,2050000.0,,
8250.HK,DU DU HLDGS,Thermal Coal,0.144,HKD,HKD,52506428.0,06-30,0.0,330022000.0,1721000.0,362736000.0,330022000.0,5847757000.0,5815239000.0,25003000.0,-18463000.0,-26257000.0,-3914000.0,7260000.0,
8257.HK,GENES TECH,Semiconductor Equipment & Materials,0.051,HKD,TWD,51000000.0,12-31,0.0,1412262000.0,620032000.0,2444504000.0,820477000.0,931958000.0,668625000.0,177585000.0,24280000.0,94551000.0,-55041000.0,-2187000.0,
8262.HK,SUPER STRONG,Engineering & Construction,0.123,HKD,HKD,113564672.0,06-30,0.0,84431000.0,2567000.0,136462000.0,84431000.0,90277000.0,80311000.0,22284000.0,-19242000.0,-20817000.0,-1823000.0,-5810000.0,
8267.HK,LINEKONG,Electronic Gaming & Multimedia,0.24,HKD,CNY,88314000.0,12-31,0.0,247230000.0,645000.0,320566000.0,247230000.0,135506000.0,101189000.0,54200000.0,-17426000.0,-22289000.0,-1096000.0,-17531000.0,
8268.HK,SMART CITY DEV,Engineering & Construction,0.415,HKD,HKD,119520000.0,03-31,0.0,135347000.0,7048000.0,333037000.0,128927000.0,435077000.0,410566000.0,45902000.0,-20356000.0,-17100000.0,-3076000.0,10006000.0,
8269.HK,WEALTH GLORY,Conglomerates,0.045,HKD,HKD,40082536.0,03-31,0.0,17133000.0,6274000.0,57771000.0,10859000.0,32265000.0,29674000.0,17026000.0,-30704000.0,300000.0,-390000.0,,
